Job array  : 710, task 6
Node       : bn002
Started at : Sun Mar 15 11:13:05 AM EDT 2026
Config     : train/config/best_hparams.yaml
Study      : yoloe_hparam_search_v2 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v2.db
Trials     : 10 (this worker)
Study name : yoloe_hparam_search_v2
Storage    : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v2.db
Trials     : 10 (this worker)
Epochs/trial: 50 (max, early stopping at patience=25)

[Trial 6] lr=4.33e-04  wd=7.97e-03  stride=5  bs=32  mosaic=0.34  ls=0.106  clahe=False  ssr=True  rbc=False
ScanAwareSampler: 13 scans, 2306 total slices, stride=5 → ~467 slices/epoch (20% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=457.1757 | VLoss=503.5952 | AP@50=0.0005
  Epoch   2/50 | LR=9.20e-05 | TLoss=332.8484 | VLoss=302.7118 | AP@50=0.0020
  Epoch   3/50 | LR=1.41e-04 | TLoss=173.8966 | VLoss=154.8529 | AP@50=0.0005
  Epoch   4/50 | LR=1.89e-04 | TLoss=84.0200 | VLoss=74.8741 | AP@50=0.0011
  Epoch   5/50 | LR=2.38e-04 | TLoss=44.2673 | VLoss=47.6508 | AP@50=0.0003
  Epoch   6/50 | LR=2.87e-04 | TLoss=35.1023 | VLoss=40.0222 | AP@50=0.0005
  Epoch   7/50 | LR=3.35e-04 | TLoss=32.7937 | VLoss=36.2628 | AP@50=0.0769
  Epoch   8/50 | LR=3.84e-04 | TLoss=28.5402 | VLoss=38.2753 | AP@50=0.0334
  Epoch   9/50 | LR=4.33e-04 | TLoss=25.6591 | VLoss=38.6534 | AP@50=0.0403
  Epoch  10/50 | LR=4.32e-04 | TLoss=22.5377 | VLoss=34.2838 | AP@50=0.2425
  Epoch  11/50 | LR=4.30e-04 | TLoss=20.1727 | VLoss=32.3359 | AP@50=0.3831
  Epoch  12/50 | LR=4.28e-04 | TLoss=18.5376 | VLoss=33.0532 | AP@50=0.2606
  Epoch  13/50 | LR=4.23e-04 | TLoss=16.0887 | VLoss=33.9294 | AP@50=0.2796
  Epoch  14/50 | LR=4.18e-04 | TLoss=14.6030 | VLoss=34.8957 | AP@50=0.2990
  Epoch  15/50 | LR=4.12e-04 | TLoss=14.9417 | VLoss=31.0955 | AP@50=0.3249
  Epoch  16/50 | LR=4.05e-04 | TLoss=13.2602 | VLoss=31.5338 | AP@50=0.2577
  Epoch  17/50 | LR=3.96e-04 | TLoss=12.0458 | VLoss=31.1925 | AP@50=0.2547
  Epoch  18/50 | LR=3.87e-04 | TLoss=11.9610 | VLoss=30.8051 | AP@50=0.4143
  Epoch  19/50 | LR=3.76e-04 | TLoss=10.7648 | VLoss=31.9988 | AP@50=0.2666
  Epoch  20/50 | LR=3.65e-04 | TLoss=11.0142 | VLoss=30.0534 | AP@50=0.4823
  Epoch  21/50 | LR=3.53e-04 | TLoss=10.4549 | VLoss=30.5439 | AP@50=0.4187
  Epoch  22/50 | LR=3.41e-04 | TLoss=9.6143 | VLoss=31.1546 | AP@50=0.3528
  Epoch  23/50 | LR=3.27e-04 | TLoss=9.1823 | VLoss=31.0469 | AP@50=0.4308
  Epoch  24/50 | LR=3.13e-04 | TLoss=9.3649 | VLoss=30.0855 | AP@50=0.4430
  Epoch  25/50 | LR=2.99e-04 | TLoss=9.3043 | VLoss=29.6760 | AP@50=0.4179
  Epoch  26/50 | LR=2.84e-04 | TLoss=9.2069 | VLoss=30.2149 | AP@50=0.3985
  Epoch  27/50 | LR=2.68e-04 | TLoss=8.2351 | VLoss=27.9066 | AP@50=0.4931
  Epoch  28/50 | LR=2.53e-04 | TLoss=8.5582 | VLoss=30.9598 | AP@50=0.4440
  Epoch  29/50 | LR=2.37e-04 | TLoss=7.9068 | VLoss=29.7139 | AP@50=0.4540
  Epoch  30/50 | LR=2.21e-04 | TLoss=7.7203 | VLoss=29.9528 | AP@50=0.4644
  Epoch  31/50 | LR=2.06e-04 | TLoss=7.6664 | VLoss=31.8322 | AP@50=0.4483
  Epoch  32/50 | LR=1.90e-04 | TLoss=7.3813 | VLoss=31.0678 | AP@50=0.5206
  Epoch  33/50 | LR=1.74e-04 | TLoss=7.1069 | VLoss=30.5627 | AP@50=0.4488
  Epoch  34/50 | LR=1.59e-04 | TLoss=6.9058 | VLoss=30.6892 | AP@50=0.4488
  Epoch  35/50 | LR=1.44e-04 | TLoss=6.6924 | VLoss=28.9854 | AP@50=0.4967
  Epoch  36/50 | LR=1.30e-04 | TLoss=6.6147 | VLoss=29.3470 | AP@50=0.4181
  Epoch  37/50 | LR=1.16e-04 | TLoss=6.7094 | VLoss=29.4880 | AP@50=0.4641
  Epoch  38/50 | LR=1.02e-04 | TLoss=6.5277 | VLoss=29.9543 | AP@50=0.4745
  Epoch  39/50 | LR=8.96e-05 | TLoss=5.9118 | VLoss=29.7382 | AP@50=0.4499
  Epoch  40/50 | LR=7.76e-05 | TLoss=6.1350 | VLoss=30.4584 | AP@50=0.4873
  Epoch  41/50 | LR=6.64e-05 | TLoss=6.1725 | VLoss=30.7377 | AP@50=0.4477
  Epoch  42/50 | LR=5.61e-05 | TLoss=6.4048 | VLoss=29.1490 | AP@50=0.4639
  Epoch  43/50 | LR=4.67e-05 | TLoss=5.9470 | VLoss=29.6461 | AP@50=0.4918
  Epoch  44/50 | LR=3.83e-05 | TLoss=6.1687 | VLoss=29.8385 | AP@50=0.4969
  Epoch  45/50 | LR=3.09e-05 | TLoss=5.8909 | VLoss=30.3979 | AP@50=0.4404
  Epoch  46/50 | LR=2.46e-05 | TLoss=5.6679 | VLoss=29.9883 | AP@50=0.4684
  Epoch  47/50 | LR=1.94e-05 | TLoss=5.9534 | VLoss=30.0948 | AP@50=0.4566
  Epoch  48/50 | LR=1.53e-05 | TLoss=5.8096 | VLoss=29.9304 | AP@50=0.4567
  Epoch  49/50 | LR=1.24e-05 | TLoss=5.6729 | VLoss=29.9223 | AP@50=0.4667
  Epoch  50/50 | LR=1.06e-05 | TLoss=5.5929 | VLoss=29.6566 | AP@50=0.4686

[Trial 21] lr=2.09e-03  wd=1.03e-04  stride=7  bs=8  mosaic=0.49  ls=0.040  clahe=True  ssr=False  rbc=True
ScanAwareSampler: 13 scans, 2306 total slices, stride=7 → ~336 slices/epoch (15% of training set per epoch)
  Epoch   1/50 | LR=2.09e-04 | TLoss=173.9452 | VLoss=68.8494 | AP@50=0.0005
  Epoch   2/50 | LR=4.44e-04 | TLoss=36.6998 | VLoss=43.8090 | AP@50=0.0114
  Epoch   3/50 | LR=6.80e-04 | TLoss=31.1261 | VLoss=46.0426 | AP@50=0.0029
  Epoch   4/50 | LR=9.15e-04 | TLoss=29.4888 | VLoss=42.0878 | AP@50=0.0284
  Epoch   5/50 | LR=1.15e-03 | TLoss=25.7568 | VLoss=45.3808 | AP@50=0.1354
  Epoch   6/50 | LR=1.39e-03 | TLoss=19.5250 | VLoss=37.5579 | AP@50=0.1759
  Epoch   7/50 | LR=1.62e-03 | TLoss=19.2280 | VLoss=39.0520 | AP@50=0.2097
  Epoch   8/50 | LR=1.86e-03 | TLoss=16.8350 | VLoss=29.6392 | AP@50=0.3158
  Epoch   9/50 | LR=2.09e-03 | TLoss=15.6800 | VLoss=42.9877 | AP@50=0.1303
  Epoch  10/50 | LR=2.09e-03 | TLoss=14.3852 | VLoss=38.4964 | AP@50=0.2257
  Epoch  11/50 | LR=2.08e-03 | TLoss=12.7869 | VLoss=39.7166 | AP@50=0.1972
  Epoch  12/50 | LR=2.07e-03 | TLoss=11.7370 | VLoss=38.7784 | AP@50=0.2735
  Epoch  13/50 | LR=2.05e-03 | TLoss=12.7308 | VLoss=34.9508 | AP@50=0.2529
  Epoch  14/50 | LR=2.02e-03 | TLoss=9.8260 | VLoss=38.1259 | AP@50=0.3606
  Epoch  15/50 | LR=1.99e-03 | TLoss=9.6097 | VLoss=40.0154 | AP@50=0.3517
  Epoch  16/50 | LR=1.95e-03 | TLoss=8.4704 | VLoss=36.9512 | AP@50=0.3962
  Epoch  17/50 | LR=1.91e-03 | TLoss=8.5736 | VLoss=36.9860 | AP@50=0.3205
  Epoch  18/50 | LR=1.86e-03 | TLoss=8.7312 | VLoss=38.2142 | AP@50=0.3348
  Epoch  19/50 | LR=1.81e-03 | TLoss=7.6455 | VLoss=35.3045 | AP@50=0.4851
  Epoch  20/50 | LR=1.76e-03 | TLoss=7.5771 | VLoss=39.4829 | AP@50=0.2954
  Epoch  21/50 | LR=1.70e-03 | TLoss=7.0986 | VLoss=37.8637 | AP@50=0.3270
  Epoch  22/50 | LR=1.64e-03 | TLoss=5.9933 | VLoss=36.9607 | AP@50=0.3055
  Epoch  23/50 | LR=1.57e-03 | TLoss=6.4862 | VLoss=34.0512 | AP@50=0.3603
  Epoch  24/50 | LR=1.50e-03 | TLoss=6.3043 | VLoss=36.3217 | AP@50=0.4072
  Epoch  25/50 | LR=1.43e-03 | TLoss=6.0808 | VLoss=37.1098 | AP@50=0.4065
  Epoch  26/50 | LR=1.36e-03 | TLoss=5.7433 | VLoss=37.0328 | AP@50=0.3307
  Epoch  27/50 | LR=1.28e-03 | TLoss=5.3409 | VLoss=36.6053 | AP@50=0.3848
  Epoch  28/50 | LR=1.21e-03 | TLoss=5.6109 | VLoss=38.3576 | AP@50=0.4274
  Epoch  29/50 | LR=1.13e-03 | TLoss=5.2768 | VLoss=36.9521 | AP@50=0.4226
  Epoch  30/50 | LR=1.05e-03 | TLoss=4.8981 | VLoss=33.0939 | AP@50=0.4366
  Epoch  31/50 | LR=9.73e-04 | TLoss=4.6812 | VLoss=32.7881 | AP@50=0.3849
  Epoch  32/50 | LR=8.96e-04 | TLoss=4.6324 | VLoss=35.4727 | AP@50=0.4154
  Epoch  33/50 | LR=8.19e-04 | TLoss=4.1995 | VLoss=37.4459 | AP@50=0.3647
  Epoch  34/50 | LR=7.44e-04 | TLoss=3.9497 | VLoss=36.7187 | AP@50=0.4964
  Epoch  35/50 | LR=6.71e-04 | TLoss=4.0717 | VLoss=37.1139 | AP@50=0.4497
  Epoch  36/50 | LR=5.99e-04 | TLoss=3.9750 | VLoss=35.7731 | AP@50=0.4461
  Epoch  37/50 | LR=5.30e-04 | TLoss=3.5148 | VLoss=35.8167 | AP@50=0.4411
  Epoch  38/50 | LR=4.65e-04 | TLoss=3.6347 | VLoss=37.4269 | AP@50=0.4496
  Epoch  39/50 | LR=4.02e-04 | TLoss=3.5899 | VLoss=36.4157 | AP@50=0.4335
  Epoch  40/50 | LR=3.43e-04 | TLoss=3.3168 | VLoss=36.2897 | AP@50=0.4555
  Epoch  41/50 | LR=2.88e-04 | TLoss=3.5411 | VLoss=35.7517 | AP@50=0.4193
  Epoch  42/50 | LR=2.37e-04 | TLoss=3.4178 | VLoss=36.1239 | AP@50=0.4072
  Epoch  43/50 | LR=1.91e-04 | TLoss=3.0784 | VLoss=35.6616 | AP@50=0.4531
  Epoch  44/50 | LR=1.49e-04 | TLoss=2.8897 | VLoss=36.5018 | AP@50=0.4220
  Epoch  45/50 | LR=1.13e-04 | TLoss=3.3712 | VLoss=35.5535 | AP@50=0.4104
  Epoch  46/50 | LR=8.20e-05 | TLoss=2.9669 | VLoss=36.2994 | AP@50=0.4362
