Job array    : 752, task 2
Node         : bn033
Started at   : Tue Mar 17 02:39:17 PM EDT 2026
Config       : train/config/default.yaml
Study        : yoloe_hparam_search_v4 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4
Study name   : yoloe_hparam_search_v4
Storage      : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Epochs/trial : 50 (max, EMA early stopping patience=15)
EMA alpha    : 0.3
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4

[Trial 3] lr=4.33e-04  wd=7.97e-03  stride=10  bs=16  mosaic=0.39  ls=0.090  clahe=True  ssr=True  rbc=False  median=True(limit=5)  speckle=False(medium)  cp_p=0.11
ScanAwareSampler: 13 scans, 2306 total slices, stride=10 → ~236 slices/epoch (10% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=422.3026 | VLoss=468.9195 | AP@50=0.0000 | SliceAP=0.1584 | EMA_SliceAP=0.1584
  Epoch   2/50 | LR=9.20e-05 | TLoss=308.5757 | VLoss=296.7312 | AP@50=0.0003 | SliceAP=0.3465 | EMA_SliceAP=0.2149
  Epoch   3/50 | LR=1.41e-04 | TLoss=156.1957 | VLoss=158.4459 | AP@50=0.0001 | SliceAP=0.4356 | EMA_SliceAP=0.2811
  Epoch   4/50 | LR=1.89e-04 | TLoss=82.6394 | VLoss=78.9835 | AP@50=0.0002 | SliceAP=0.4356 | EMA_SliceAP=0.3275
  Epoch   5/50 | LR=2.38e-04 | TLoss=45.3539 | VLoss=50.5851 | AP@50=0.0002 | SliceAP=0.2277 | EMA_SliceAP=0.2975
  Epoch   6/50 | LR=2.87e-04 | TLoss=35.3652 | VLoss=44.5083 | AP@50=0.0003 | SliceAP=0.0792 | EMA_SliceAP=0.2320
  Epoch   7/50 | LR=3.35e-04 | TLoss=30.7589 | VLoss=37.8624 | AP@50=0.0020 | SliceAP=0.1287 | EMA_SliceAP=0.2010
  Epoch   8/50 | LR=3.84e-04 | TLoss=30.4809 | VLoss=38.3340 | AP@50=0.0183 | SliceAP=0.3564 | EMA_SliceAP=0.2477
  Epoch   9/50 | LR=4.33e-04 | TLoss=29.0982 | VLoss=41.1569 | AP@50=0.0463 | SliceAP=0.3564 | EMA_SliceAP=0.2803
  Epoch  10/50 | LR=4.32e-04 | TLoss=28.2882 | VLoss=52.5384 | AP@50=0.1326 | SliceAP=0.4059 | EMA_SliceAP=0.3180
  Epoch  11/50 | LR=4.30e-04 | TLoss=27.4419 | VLoss=34.9337 | AP@50=0.1455 | SliceAP=0.4059 | EMA_SliceAP=0.3444
  Epoch  12/50 | LR=4.28e-04 | TLoss=23.1279 | VLoss=38.1012 | AP@50=0.2864 | SliceAP=0.6634 | EMA_SliceAP=0.4401
  Epoch  13/50 | LR=4.23e-04 | TLoss=20.9496 | VLoss=39.7337 | AP@50=0.1058 | SliceAP=0.5050 | EMA_SliceAP=0.4595
  Epoch  14/50 | LR=4.18e-04 | TLoss=19.8138 | VLoss=34.7090 | AP@50=0.1398 | SliceAP=0.6040 | EMA_SliceAP=0.5029
  Epoch  15/50 | LR=4.12e-04 | TLoss=18.5924 | VLoss=35.5844 | AP@50=0.0493 | SliceAP=0.6436 | EMA_SliceAP=0.5451
  Epoch  16/50 | LR=4.05e-04 | TLoss=17.3571 | VLoss=32.2625 | AP@50=0.2322 | SliceAP=0.6832 | EMA_SliceAP=0.5865
  Epoch  17/50 | LR=3.96e-04 | TLoss=15.6603 | VLoss=33.9565 | AP@50=0.3803 | SliceAP=0.6832 | EMA_SliceAP=0.6155
  Epoch  18/50 | LR=3.87e-04 | TLoss=15.9290 | VLoss=34.4612 | AP@50=0.2336 | SliceAP=0.5743 | EMA_SliceAP=0.6031
  Epoch  19/50 | LR=3.76e-04 | TLoss=13.5986 | VLoss=38.0508 | AP@50=0.2887 | SliceAP=0.5347 | EMA_SliceAP=0.5826
  Epoch  20/50 | LR=3.65e-04 | TLoss=13.8371 | VLoss=34.4867 | AP@50=0.3377 | SliceAP=0.6238 | EMA_SliceAP=0.5949
  Epoch  21/50 | LR=3.53e-04 | TLoss=13.7371 | VLoss=33.0386 | AP@50=0.4509 | SliceAP=0.6832 | EMA_SliceAP=0.6214
  Epoch  22/50 | LR=3.41e-04 | TLoss=12.9557 | VLoss=35.1913 | AP@50=0.3906 | SliceAP=0.6436 | EMA_SliceAP=0.6281
