Job array  : 710, task 4
Node       : bn002
Started at : Sun Mar 15 11:13:05 AM EDT 2026
Config     : train/config/best_hparams.yaml
Study      : yoloe_hparam_search_v2 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v2.db
Trials     : 10 (this worker)
Study name : yoloe_hparam_search_v2
Storage    : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v2.db
Trials     : 10 (this worker)
Epochs/trial: 50 (max, early stopping at patience=25)

[Trial 3] lr=4.33e-04  wd=7.97e-03  stride=5  bs=32  mosaic=0.34  ls=0.106  clahe=False  ssr=True  rbc=False
ScanAwareSampler: 13 scans, 2306 total slices, stride=5 → ~467 slices/epoch (20% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=449.0435 | VLoss=474.2327 | AP@50=0.0000
  Epoch   2/50 | LR=9.20e-05 | TLoss=323.6831 | VLoss=287.9862 | AP@50=0.0018
  Epoch   3/50 | LR=1.41e-04 | TLoss=171.1765 | VLoss=148.6240 | AP@50=0.0004
  Epoch   4/50 | LR=1.89e-04 | TLoss=80.7339 | VLoss=73.5469 | AP@50=0.0001
  Epoch   5/50 | LR=2.38e-04 | TLoss=44.0532 | VLoss=48.0899 | AP@50=0.0029
  Epoch   6/50 | LR=2.87e-04 | TLoss=32.0635 | VLoss=38.6524 | AP@50=0.0073
  Epoch   7/50 | LR=3.35e-04 | TLoss=28.2273 | VLoss=37.8362 | AP@50=0.0881
  Epoch   8/50 | LR=3.84e-04 | TLoss=26.3817 | VLoss=35.5112 | AP@50=0.1353
  Epoch   9/50 | LR=4.33e-04 | TLoss=22.3888 | VLoss=41.7236 | AP@50=0.0516
  Epoch  10/50 | LR=4.32e-04 | TLoss=21.5812 | VLoss=35.7788 | AP@50=0.2517
  Epoch  11/50 | LR=4.30e-04 | TLoss=18.1996 | VLoss=34.2359 | AP@50=0.2437
  Epoch  12/50 | LR=4.28e-04 | TLoss=16.4844 | VLoss=35.5410 | AP@50=0.2797
  Epoch  13/50 | LR=4.23e-04 | TLoss=14.9957 | VLoss=35.6830 | AP@50=0.2841
  Epoch  14/50 | LR=4.18e-04 | TLoss=13.8757 | VLoss=33.6841 | AP@50=0.2311
  Epoch  15/50 | LR=4.12e-04 | TLoss=13.9128 | VLoss=36.4096 | AP@50=0.1665
  Epoch  16/50 | LR=4.05e-04 | TLoss=12.3701 | VLoss=37.4729 | AP@50=0.2879
