Job array    : 752, task 15
Node         : bn060
Started at   : Tue Mar 17 02:39:22 PM EDT 2026
Config       : train/config/default.yaml
Study        : yoloe_hparam_search_v4 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4
Study name   : yoloe_hparam_search_v4
Storage      : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Epochs/trial : 50 (max, EMA early stopping patience=15)
EMA alpha    : 0.3
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4

[Trial 14] lr=4.33e-04  wd=7.97e-03  stride=10  bs=16  mosaic=0.39  ls=0.090  clahe=True  ssr=True  rbc=False  median=True(limit=5)  speckle=False(medium)  cp_p=0.11
ScanAwareSampler: 13 scans, 2306 total slices, stride=10 → ~236 slices/epoch (10% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=463.4890 | VLoss=525.5288 | AP@50=0.0000 | SliceAP=0.1782 | EMA_SliceAP=0.1782
  Epoch   2/50 | LR=9.20e-05 | TLoss=343.1298 | VLoss=344.4822 | AP@50=0.0006 | SliceAP=0.4158 | EMA_SliceAP=0.2495
  Epoch   3/50 | LR=1.41e-04 | TLoss=178.6284 | VLoss=184.9553 | AP@50=0.0002 | SliceAP=0.5545 | EMA_SliceAP=0.3410
  Epoch   4/50 | LR=1.89e-04 | TLoss=90.7613 | VLoss=95.7065 | AP@50=0.0001 | SliceAP=0.3861 | EMA_SliceAP=0.3545
  Epoch   5/50 | LR=2.38e-04 | TLoss=48.6305 | VLoss=57.0664 | AP@50=0.0005 | SliceAP=0.2673 | EMA_SliceAP=0.3284
  Epoch   6/50 | LR=2.87e-04 | TLoss=37.2076 | VLoss=48.2263 | AP@50=0.0003 | SliceAP=0.0792 | EMA_SliceAP=0.2536
  Epoch   7/50 | LR=3.35e-04 | TLoss=33.2658 | VLoss=44.2388 | AP@50=0.0018 | SliceAP=0.1980 | EMA_SliceAP=0.2369
  Epoch   8/50 | LR=3.84e-04 | TLoss=28.2354 | VLoss=47.7357 | AP@50=0.0000 | SliceAP=0.0000 | EMA_SliceAP=0.1659
  Epoch   9/50 | LR=4.33e-04 | TLoss=30.5424 | VLoss=38.8186 | AP@50=0.0398 | SliceAP=0.4752 | EMA_SliceAP=0.2587
  Epoch  10/50 | LR=4.32e-04 | TLoss=28.5448 | VLoss=38.6340 | AP@50=0.1417 | SliceAP=0.5644 | EMA_SliceAP=0.3504
  Epoch  11/50 | LR=4.30e-04 | TLoss=27.6621 | VLoss=34.6277 | AP@50=0.0453 | SliceAP=0.5050 | EMA_SliceAP=0.3968
  Epoch  12/50 | LR=4.28e-04 | TLoss=23.7140 | VLoss=39.7258 | AP@50=0.0378 | SliceAP=0.3861 | EMA_SliceAP=0.3936
  Epoch  13/50 | LR=4.23e-04 | TLoss=23.8242 | VLoss=38.3272 | AP@50=0.0621 | SliceAP=0.6436 | EMA_SliceAP=0.4686
  Epoch  14/50 | LR=4.18e-04 | TLoss=22.3891 | VLoss=38.5232 | AP@50=0.0306 | SliceAP=0.3168 | EMA_SliceAP=0.4230
  Epoch  15/50 | LR=4.12e-04 | TLoss=20.3629 | VLoss=45.2675 | AP@50=0.0862 | SliceAP=0.3366 | EMA_SliceAP=0.3971
  Epoch  16/50 | LR=4.05e-04 | TLoss=18.3633 | VLoss=38.9080 | AP@50=0.0813 | SliceAP=0.6139 | EMA_SliceAP=0.4621
  Epoch  17/50 | LR=3.96e-04 | TLoss=15.9464 | VLoss=35.3642 | AP@50=0.2629 | SliceAP=0.6139 | EMA_SliceAP=0.5077
  Epoch  18/50 | LR=3.87e-04 | TLoss=16.2928 | VLoss=36.4164 | AP@50=0.2665 | SliceAP=0.6832 | EMA_SliceAP=0.5603
  Epoch  19/50 | LR=3.76e-04 | TLoss=14.7726 | VLoss=36.1636 | AP@50=0.2675 | SliceAP=0.6634 | EMA_SliceAP=0.5912
  Epoch  20/50 | LR=3.65e-04 | TLoss=15.0750 | VLoss=34.3823 | AP@50=0.2670 | SliceAP=0.7030 | EMA_SliceAP=0.6248
  Epoch  21/50 | LR=3.53e-04 | TLoss=13.7962 | VLoss=36.4150 | AP@50=0.2695 | SliceAP=0.5941 | EMA_SliceAP=0.6155
  Epoch  22/50 | LR=3.41e-04 | TLoss=13.1754 | VLoss=36.0623 | AP@50=0.3090 | SliceAP=0.6733 | EMA_SliceAP=0.6329
  Epoch  23/50 | LR=3.27e-04 | TLoss=12.7382 | VLoss=37.3440 | AP@50=0.5407 | SliceAP=0.7525 | EMA_SliceAP=0.6687
  Epoch  24/50 | LR=3.13e-04 | TLoss=12.0850 | VLoss=35.9391 | AP@50=0.2234 | SliceAP=0.6139 | EMA_SliceAP=0.6523
  Epoch  25/50 | LR=2.99e-04 | TLoss=11.4658 | VLoss=35.3850 | AP@50=0.3973 | SliceAP=0.7228 | EMA_SliceAP=0.6734
  Epoch  26/50 | LR=2.84e-04 | TLoss=12.1710 | VLoss=33.6096 | AP@50=0.3854 | SliceAP=0.7129 | EMA_SliceAP=0.6853
  Epoch  27/50 | LR=2.68e-04 | TLoss=10.9089 | VLoss=32.6910 | AP@50=0.3972 | SliceAP=0.7228 | EMA_SliceAP=0.6965
  Epoch  28/50 | LR=2.53e-04 | TLoss=10.6855 | VLoss=33.0322 | AP@50=0.4433 | SliceAP=0.6535 | EMA_SliceAP=0.6836
  Epoch  29/50 | LR=2.37e-04 | TLoss=10.2258 | VLoss=34.4595 | AP@50=0.4455 | SliceAP=0.7129 | EMA_SliceAP=0.6924
  Epoch  30/50 | LR=2.21e-04 | TLoss=10.5628 | VLoss=30.4679 | AP@50=0.3833 | SliceAP=0.7624 | EMA_SliceAP=0.7134
  Epoch  31/50 | LR=2.06e-04 | TLoss=10.4443 | VLoss=31.0080 | AP@50=0.4081 | SliceAP=0.7030 | EMA_SliceAP=0.7103
  Epoch  32/50 | LR=1.90e-04 | TLoss=9.6813 | VLoss=30.2344 | AP@50=0.4732 | SliceAP=0.7129 | EMA_SliceAP=0.7110
  Epoch  33/50 | LR=1.74e-04 | TLoss=10.0293 | VLoss=34.0941 | AP@50=0.4528 | SliceAP=0.7327 | EMA_SliceAP=0.7175
  Epoch  34/50 | LR=1.59e-04 | TLoss=8.9805 | VLoss=31.6556 | AP@50=0.4120 | SliceAP=0.7525 | EMA_SliceAP=0.7280
  Epoch  35/50 | LR=1.44e-04 | TLoss=8.4595 | VLoss=33.3236 | AP@50=0.4155 | SliceAP=0.7030 | EMA_SliceAP=0.7205
  Epoch  36/50 | LR=1.30e-04 | TLoss=8.5864 | VLoss=33.5730 | AP@50=0.3492 | SliceAP=0.6535 | EMA_SliceAP=0.7004
  Epoch  37/50 | LR=1.16e-04 | TLoss=9.1465 | VLoss=31.9819 | AP@50=0.4235 | SliceAP=0.7129 | EMA_SliceAP=0.7041
  Epoch  38/50 | LR=1.02e-04 | TLoss=8.7108 | VLoss=34.2753 | AP@50=0.3290 | SliceAP=0.6436 | EMA_SliceAP=0.6860
  Epoch  39/50 | LR=8.96e-05 | TLoss=8.0223 | VLoss=33.1429 | AP@50=0.4574 | SliceAP=0.7129 | EMA_SliceAP=0.6940
  Epoch  40/50 | LR=7.76e-05 | TLoss=8.5402 | VLoss=32.3833 | AP@50=0.3991 | SliceAP=0.6535 | EMA_SliceAP=0.6819
  Epoch  41/50 | LR=6.64e-05 | TLoss=7.8847 | VLoss=31.4413 | AP@50=0.4097 | SliceAP=0.7129 | EMA_SliceAP=0.6912
  Epoch  42/50 | LR=5.61e-05 | TLoss=8.5896 | VLoss=31.9035 | AP@50=0.3798 | SliceAP=0.6832 | EMA_SliceAP=0.6888
  Epoch  43/50 | LR=4.67e-05 | TLoss=7.6648 | VLoss=31.6439 | AP@50=0.4259 | SliceAP=0.6634 | EMA_SliceAP=0.6811
  Epoch  44/50 | LR=3.83e-05 | TLoss=8.1023 | VLoss=30.9714 | AP@50=0.4293 | SliceAP=0.6832 | EMA_SliceAP=0.6818
  Epoch  45/50 | LR=3.09e-05 | TLoss=8.0194 | VLoss=30.8444 | AP@50=0.4125 | SliceAP=0.6931 | EMA_SliceAP=0.6851
  Epoch  46/50 | LR=2.46e-05 | TLoss=7.8440 | VLoss=31.0562 | AP@50=0.4152 | SliceAP=0.7030 | EMA_SliceAP=0.6905
  Epoch  47/50 | LR=1.94e-05 | TLoss=8.0555 | VLoss=31.4678 | AP@50=0.4225 | SliceAP=0.6832 | EMA_SliceAP=0.6883
  Epoch  48/50 | LR=1.53e-05 | TLoss=8.0940 | VLoss=31.5127 | AP@50=0.4334 | SliceAP=0.6931 | EMA_SliceAP=0.6897
  Epoch  49/50 | LR=1.24e-05 | TLoss=7.7305 | VLoss=32.0887 | AP@50=0.4272 | SliceAP=0.6832 | EMA_SliceAP=0.6878
  [Early stop at epoch 49, best EMA SliceAP=0.7280]
  [Checkpoints] top-3 saved → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4/trial_0014/swa_manifest.yaml

[Trial 48] lr=1.24e-03  wd=4.69e-03  stride=10  bs=16  mosaic=0.34  ls=0.067  clahe=True  ssr=True  rbc=False  median=True(limit=5)  speckle=False(heavy)  cp_p=0.01
ScanAwareSampler: 13 scans, 2306 total slices, stride=10 → ~236 slices/epoch (10% of training set per epoch)
  Epoch   1/50 | LR=1.24e-04 | TLoss=346.4901 | VLoss=262.6338 | AP@50=0.0005 | SliceAP=0.1881 | EMA_SliceAP=0.1881
  Epoch   2/50 | LR=2.64e-04 | TLoss=122.3587 | VLoss=92.0403 | AP@50=0.0041 | SliceAP=0.3465 | EMA_SliceAP=0.2356
  Epoch   3/50 | LR=4.04e-04 | TLoss=50.0592 | VLoss=43.9545 | AP@50=0.0023 | SliceAP=0.4752 | EMA_SliceAP=0.3075
  Epoch   4/50 | LR=5.44e-04 | TLoss=36.3944 | VLoss=43.5175 | AP@50=0.0025 | SliceAP=0.1782 | EMA_SliceAP=0.2687
  Epoch   5/50 | LR=6.84e-04 | TLoss=34.3159 | VLoss=41.1549 | AP@50=0.0000 | SliceAP=0.0099 | EMA_SliceAP=0.1911
  Epoch   6/50 | LR=8.24e-04 | TLoss=32.4282 | VLoss=42.1170 | AP@50=0.0163 | SliceAP=0.2970 | EMA_SliceAP=0.2229
  Epoch   7/50 | LR=9.64e-04 | TLoss=30.7337 | VLoss=42.3913 | AP@50=0.0000 | SliceAP=0.0000 | EMA_SliceAP=0.1560
  Epoch   8/50 | LR=1.10e-03 | TLoss=28.4500 | VLoss=39.5501 | AP@50=0.1216 | SliceAP=0.5347 | EMA_SliceAP=0.2696
  Epoch   9/50 | LR=1.24e-03 | TLoss=28.8443 | VLoss=43.1512 | AP@50=0.0630 | SliceAP=0.3366 | EMA_SliceAP=0.2897
  Epoch  10/50 | LR=1.24e-03 | TLoss=26.0897 | VLoss=38.6647 | AP@50=0.1865 | SliceAP=0.5446 | EMA_SliceAP=0.3662
  Epoch  11/50 | LR=1.24e-03 | TLoss=22.2412 | VLoss=39.6926 | AP@50=0.2276 | SliceAP=0.4158 | EMA_SliceAP=0.3811
  Epoch  12/50 | LR=1.23e-03 | TLoss=21.0642 | VLoss=37.4672 | AP@50=0.2478 | SliceAP=0.6238 | EMA_SliceAP=0.4539
  Epoch  13/50 | LR=1.22e-03 | TLoss=21.2182 | VLoss=34.2758 | AP@50=0.1044 | SliceAP=0.4752 | EMA_SliceAP=0.4603
  Epoch  14/50 | LR=1.20e-03 | TLoss=19.9992 | VLoss=41.5713 | AP@50=0.1311 | SliceAP=0.3564 | EMA_SliceAP=0.4291
  Epoch  15/50 | LR=1.18e-03 | TLoss=17.9795 | VLoss=37.8820 | AP@50=0.1143 | SliceAP=0.4752 | EMA_SliceAP=0.4430
  Epoch  16/50 | LR=1.16e-03 | TLoss=16.9578 | VLoss=38.9576 | AP@50=0.1637 | SliceAP=0.6634 | EMA_SliceAP=0.5091
