Job array  : 732, task 18
Node       : bn060
Started at : Tue Mar 17 10:46:12 AM EDT 2026
Config     : train/config/default.yaml
Study      : yoloe_hparam_search_v3 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v3.db
Trials     : 15 (this worker)
Study name : yoloe_hparam_search_v3
Storage    : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v3.db
Trials     : 15 (this worker)
Epochs/trial: 50 (max, early stopping at patience=25)

[Trial 17] lr=4.33e-04  wd=7.97e-03  stride=5  bs=32  mosaic=0.34  ls=0.106  clahe=False  ssr=True  rbc=False  median=False(limit=7)  speckle=False(heavy)  cp_p=0.14
ScanAwareSampler: 13 scans, 2306 total slices, stride=5 → ~467 slices/epoch (20% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=452.9104 | VLoss=494.8324 | AP@50=0.0002
  Epoch   2/50 | LR=9.20e-05 | TLoss=314.7337 | VLoss=316.1584 | AP@50=0.0036
  Epoch   3/50 | LR=1.41e-04 | TLoss=176.1334 | VLoss=166.3513 | AP@50=0.0008
  Epoch   4/50 | LR=1.89e-04 | TLoss=86.2993 | VLoss=83.3058 | AP@50=0.0106
  Epoch   5/50 | LR=2.38e-04 | TLoss=47.0696 | VLoss=50.6045 | AP@50=0.0004
  Epoch   6/50 | LR=2.87e-04 | TLoss=34.0730 | VLoss=40.2924 | AP@50=0.0128
  Epoch   7/50 | LR=3.35e-04 | TLoss=28.8394 | VLoss=37.9486 | AP@50=0.0149
  Epoch   8/50 | LR=3.84e-04 | TLoss=25.5115 | VLoss=38.5833 | AP@50=0.1354
  Epoch   9/50 | LR=4.33e-04 | TLoss=24.4364 | VLoss=35.1973 | AP@50=0.0374
  Epoch  10/50 | LR=4.32e-04 | TLoss=21.9759 | VLoss=43.3107 | AP@50=0.1489
  Epoch  11/50 | LR=4.30e-04 | TLoss=20.9784 | VLoss=35.9399 | AP@50=0.2210
  Epoch  12/50 | LR=4.28e-04 | TLoss=17.5588 | VLoss=36.4673 | AP@50=0.1557
  Epoch  13/50 | LR=4.23e-04 | TLoss=16.8029 | VLoss=36.9521 | AP@50=0.2338
  Epoch  14/50 | LR=4.18e-04 | TLoss=15.8470 | VLoss=33.7919 | AP@50=0.3892
  Epoch  15/50 | LR=4.12e-04 | TLoss=14.2579 | VLoss=37.4082 | AP@50=0.2295
