Job array  : 732, task 11
Node       : bn045
Started at : Tue Mar 17 10:46:12 AM EDT 2026
Config     : train/config/default.yaml
Study      : yoloe_hparam_search_v3 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v3.db
Trials     : 15 (this worker)
Study name : yoloe_hparam_search_v3
Storage    : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v3.db
Trials     : 15 (this worker)
Epochs/trial: 50 (max, early stopping at patience=25)

[Trial 10] lr=4.33e-04  wd=7.97e-03  stride=5  bs=32  mosaic=0.34  ls=0.106  clahe=False  ssr=True  rbc=False  median=False(limit=7)  speckle=False(heavy)  cp_p=0.14
ScanAwareSampler: 13 scans, 2306 total slices, stride=5 → ~467 slices/epoch (20% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=440.0454 | VLoss=514.5991 | AP@50=0.0000
  Epoch   2/50 | LR=9.20e-05 | TLoss=334.4111 | VLoss=318.7292 | AP@50=0.0052
  Epoch   3/50 | LR=1.41e-04 | TLoss=181.9622 | VLoss=174.9814 | AP@50=0.0001
  Epoch   4/50 | LR=1.89e-04 | TLoss=88.7747 | VLoss=86.3959 | AP@50=0.0017
  Epoch   5/50 | LR=2.38e-04 | TLoss=46.9846 | VLoss=53.2318 | AP@50=0.0014
  Epoch   6/50 | LR=2.87e-04 | TLoss=33.2157 | VLoss=40.9448 | AP@50=0.0205
  Epoch   7/50 | LR=3.35e-04 | TLoss=27.1962 | VLoss=43.4146 | AP@50=0.0005
  Epoch   8/50 | LR=3.84e-04 | TLoss=24.2979 | VLoss=40.5012 | AP@50=0.1211
  Epoch   9/50 | LR=4.33e-04 | TLoss=23.0195 | VLoss=39.3605 | AP@50=0.0495
  Epoch  10/50 | LR=4.32e-04 | TLoss=20.6927 | VLoss=34.2914 | AP@50=0.1529
  Epoch  11/50 | LR=4.30e-04 | TLoss=19.7846 | VLoss=36.1896 | AP@50=0.2227
  Epoch  12/50 | LR=4.28e-04 | TLoss=17.2250 | VLoss=38.3596 | AP@50=0.2935
  Epoch  13/50 | LR=4.23e-04 | TLoss=16.3472 | VLoss=35.5147 | AP@50=0.3455
  Epoch  14/50 | LR=4.18e-04 | TLoss=14.9956 | VLoss=37.6261 | AP@50=0.3408
  Epoch  15/50 | LR=4.12e-04 | TLoss=14.2137 | VLoss=37.5880 | AP@50=0.2622
  Epoch  16/50 | LR=4.05e-04 | TLoss=13.4451 | VLoss=34.1526 | AP@50=0.3797
  Epoch  17/50 | LR=3.96e-04 | TLoss=12.8969 | VLoss=32.6853 | AP@50=0.3670
  Epoch  18/50 | LR=3.87e-04 | TLoss=12.4264 | VLoss=33.6629 | AP@50=0.3617
  Epoch  19/50 | LR=3.76e-04 | TLoss=11.3247 | VLoss=33.5025 | AP@50=0.3519
  Epoch  20/50 | LR=3.65e-04 | TLoss=10.4592 | VLoss=35.9033 | AP@50=0.3516
  Epoch  21/50 | LR=3.53e-04 | TLoss=10.1172 | VLoss=30.1986 | AP@50=0.3863
  Epoch  22/50 | LR=3.41e-04 | TLoss=9.6806 | VLoss=31.2725 | AP@50=0.4560
  Epoch  23/50 | LR=3.27e-04 | TLoss=9.8269 | VLoss=31.5015 | AP@50=0.5344
  Epoch  24/50 | LR=3.13e-04 | TLoss=9.5994 | VLoss=36.3273 | AP@50=0.2247
  Epoch  25/50 | LR=2.99e-04 | TLoss=9.6365 | VLoss=33.0966 | AP@50=0.4419
  Epoch  26/50 | LR=2.84e-04 | TLoss=8.9337 | VLoss=32.7913 | AP@50=0.2922
  Epoch  27/50 | LR=2.68e-04 | TLoss=8.8953 | VLoss=33.7499 | AP@50=0.3671
  Epoch  28/50 | LR=2.53e-04 | TLoss=8.8329 | VLoss=34.8758 | AP@50=0.4036
  Epoch  29/50 | LR=2.37e-04 | TLoss=7.8918 | VLoss=33.2788 | AP@50=0.4531
  Epoch  30/50 | LR=2.21e-04 | TLoss=7.9421 | VLoss=34.7645 | AP@50=0.4600
  Epoch  31/50 | LR=2.06e-04 | TLoss=7.7457 | VLoss=32.7755 | AP@50=0.4140
  Epoch  32/50 | LR=1.90e-04 | TLoss=7.3439 | VLoss=33.1276 | AP@50=0.4541
  Epoch  33/50 | LR=1.74e-04 | TLoss=7.3312 | VLoss=33.2904 | AP@50=0.3554
  Epoch  34/50 | LR=1.59e-04 | TLoss=7.7109 | VLoss=34.0637 | AP@50=0.4865
  Epoch  35/50 | LR=1.44e-04 | TLoss=7.4682 | VLoss=33.7765 | AP@50=0.4831
  Epoch  36/50 | LR=1.30e-04 | TLoss=7.1240 | VLoss=33.3128 | AP@50=0.4423
  Epoch  37/50 | LR=1.16e-04 | TLoss=7.0832 | VLoss=32.0942 | AP@50=0.4327
  Epoch  38/50 | LR=1.02e-04 | TLoss=6.9026 | VLoss=31.3535 | AP@50=0.4524
  Epoch  39/50 | LR=8.96e-05 | TLoss=6.7554 | VLoss=32.7924 | AP@50=0.5043
  Epoch  40/50 | LR=7.76e-05 | TLoss=6.5369 | VLoss=32.8603 | AP@50=0.3848
  Epoch  41/50 | LR=6.64e-05 | TLoss=6.2012 | VLoss=32.6372 | AP@50=0.5015
  Epoch  42/50 | LR=5.61e-05 | TLoss=6.2226 | VLoss=32.3154 | AP@50=0.4368
  Epoch  43/50 | LR=4.67e-05 | TLoss=6.2443 | VLoss=32.6197 | AP@50=0.4783
  Epoch  44/50 | LR=3.83e-05 | TLoss=5.9695 | VLoss=32.9376 | AP@50=0.4755
  Epoch  45/50 | LR=3.09e-05 | TLoss=5.9435 | VLoss=33.0577 | AP@50=0.4662
  Epoch  46/50 | LR=2.46e-05 | TLoss=6.0595 | VLoss=32.7676 | AP@50=0.4574
  Epoch  47/50 | LR=1.94e-05 | TLoss=5.7799 | VLoss=32.6396 | AP@50=0.4554
  Epoch  48/50 | LR=1.53e-05 | TLoss=5.7081 | VLoss=32.7824 | AP@50=0.4690
  [Early stop at epoch 48, best AP@50=0.5344]

[Trial 23] lr=7.48e-04  wd=1.53e-03  stride=7  bs=32  mosaic=0.42  ls=0.046  clahe=False  ssr=True  rbc=True  median=True(limit=3)  speckle=True(light)  cp_p=0.63
ScanAwareSampler: 13 scans, 2306 total slices, stride=7 → ~336 slices/epoch (15% of training set per epoch)
  Epoch   1/50 | LR=7.48e-05 | TLoss=356.0775 | VLoss=455.3763 | AP@50=0.0000
  Epoch   2/50 | LR=1.59e-04 | TLoss=216.6233 | VLoss=239.5383 | AP@50=0.0004
  Epoch   3/50 | LR=2.43e-04 | TLoss=105.7863 | VLoss=115.5026 | AP@50=0.0003
  Epoch   4/50 | LR=3.27e-04 | TLoss=49.6824 | VLoss=60.5589 | AP@50=0.0005
  Epoch   5/50 | LR=4.11e-04 | TLoss=37.5178 | VLoss=44.2075 | AP@50=0.0033
  Epoch   6/50 | LR=4.95e-04 | TLoss=29.0256 | VLoss=42.0176 | AP@50=0.0003
  Epoch   7/50 | LR=5.79e-04 | TLoss=29.3461 | VLoss=36.2323 | AP@50=0.0127
  Epoch   8/50 | LR=6.63e-04 | TLoss=27.3057 | VLoss=37.1847 | AP@50=0.0016
  Epoch   9/50 | LR=7.48e-04 | TLoss=26.0326 | VLoss=37.4826 | AP@50=0.1661
  Epoch  10/50 | LR=7.47e-04 | TLoss=24.3050 | VLoss=38.2541 | AP@50=0.0986
  Epoch  11/50 | LR=7.43e-04 | TLoss=22.0856 | VLoss=35.8233 | AP@50=0.2126
  Epoch  12/50 | LR=7.38e-04 | TLoss=20.5304 | VLoss=35.9426 | AP@50=0.3340
  Epoch  13/50 | LR=7.31e-04 | TLoss=18.7863 | VLoss=36.6172 | AP@50=0.3049
  Epoch  14/50 | LR=7.22e-04 | TLoss=16.5809 | VLoss=36.4379 | AP@50=0.2773
  Epoch  15/50 | LR=7.11e-04 | TLoss=17.2886 | VLoss=31.8713 | AP@50=0.3281
  Epoch  16/50 | LR=6.98e-04 | TLoss=15.9423 | VLoss=33.2885 | AP@50=0.3147
  Epoch  17/50 | LR=6.84e-04 | TLoss=15.2593 | VLoss=36.0899 | AP@50=0.3225
  [Pruned at epoch 17]

