Job array  : 710, task 0
Node       : bn001
Started at : Sun Mar 15 11:13:05 AM EDT 2026
Config     : train/config/best_hparams.yaml
Study      : yoloe_hparam_search_v2 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v2.db
Trials     : 10 (this worker)
Study name : yoloe_hparam_search_v2
Storage    : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v2.db
Trials     : 10 (this worker)
Epochs/trial: 50 (max, early stopping at patience=25)

[Trial 0] lr=4.33e-04  wd=7.97e-03  stride=5  bs=32  mosaic=0.34  ls=0.106  clahe=False  ssr=True  rbc=False
ScanAwareSampler: 13 scans, 2306 total slices, stride=5 → ~467 slices/epoch (20% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=434.9348 | VLoss=473.6037 | AP@50=0.0000
  Epoch   2/50 | LR=9.20e-05 | TLoss=304.4451 | VLoss=277.4932 | AP@50=0.0001
  Epoch   3/50 | LR=1.41e-04 | TLoss=161.8731 | VLoss=141.9692 | AP@50=0.0006
  Epoch   4/50 | LR=1.89e-04 | TLoss=78.3743 | VLoss=77.1342 | AP@50=0.0001
  Epoch   5/50 | LR=2.38e-04 | TLoss=43.8393 | VLoss=50.1140 | AP@50=0.0000
  Epoch   6/50 | LR=2.87e-04 | TLoss=32.5586 | VLoss=39.8147 | AP@50=0.0035
  Epoch   7/50 | LR=3.35e-04 | TLoss=27.4868 | VLoss=39.8248 | AP@50=0.0016
  Epoch   8/50 | LR=3.84e-04 | TLoss=25.0913 | VLoss=40.2501 | AP@50=0.0692
  Epoch   9/50 | LR=4.33e-04 | TLoss=24.0125 | VLoss=32.9634 | AP@50=0.1220
  Epoch  10/50 | LR=4.32e-04 | TLoss=21.6286 | VLoss=37.0554 | AP@50=0.1471
  Epoch  11/50 | LR=4.30e-04 | TLoss=19.6480 | VLoss=37.6358 | AP@50=0.3039
  Epoch  12/50 | LR=4.28e-04 | TLoss=16.1897 | VLoss=39.1684 | AP@50=0.3144
  Epoch  13/50 | LR=4.23e-04 | TLoss=16.0933 | VLoss=36.8128 | AP@50=0.2269
  Epoch  14/50 | LR=4.18e-04 | TLoss=14.8488 | VLoss=33.9657 | AP@50=0.3962
  Epoch  15/50 | LR=4.12e-04 | TLoss=13.0901 | VLoss=33.0193 | AP@50=0.2056
  Epoch  16/50 | LR=4.05e-04 | TLoss=12.9176 | VLoss=31.4498 | AP@50=0.3944
  Epoch  17/50 | LR=3.96e-04 | TLoss=11.7286 | VLoss=33.7028 | AP@50=0.4442
  Epoch  18/50 | LR=3.87e-04 | TLoss=11.1932 | VLoss=34.7897 | AP@50=0.3900
  Epoch  19/50 | LR=3.76e-04 | TLoss=10.2527 | VLoss=32.7765 | AP@50=0.2380
  Epoch  20/50 | LR=3.65e-04 | TLoss=9.6923 | VLoss=35.4517 | AP@50=0.4649
  Epoch  21/50 | LR=3.53e-04 | TLoss=9.8004 | VLoss=31.6403 | AP@50=0.4570
  Epoch  22/50 | LR=3.41e-04 | TLoss=9.3203 | VLoss=33.2433 | AP@50=0.3736
  Epoch  23/50 | LR=3.27e-04 | TLoss=8.5494 | VLoss=33.2102 | AP@50=0.3966
  Epoch  24/50 | LR=3.13e-04 | TLoss=8.7767 | VLoss=33.2351 | AP@50=0.3699
  Epoch  25/50 | LR=2.99e-04 | TLoss=8.1555 | VLoss=33.8463 | AP@50=0.3749
  Epoch  26/50 | LR=2.84e-04 | TLoss=8.2758 | VLoss=31.9338 | AP@50=0.4195
  Epoch  27/50 | LR=2.68e-04 | TLoss=7.5817 | VLoss=32.8099 | AP@50=0.4033
  Epoch  28/50 | LR=2.53e-04 | TLoss=7.4859 | VLoss=35.4262 | AP@50=0.4133
  Epoch  29/50 | LR=2.37e-04 | TLoss=7.9766 | VLoss=31.9966 | AP@50=0.3530
  Epoch  30/50 | LR=2.21e-04 | TLoss=7.2935 | VLoss=31.2501 | AP@50=0.3407
  Epoch  31/50 | LR=2.06e-04 | TLoss=7.2726 | VLoss=31.7541 | AP@50=0.3555
  Epoch  32/50 | LR=1.90e-04 | TLoss=6.9609 | VLoss=31.8843 | AP@50=0.4468
  Epoch  33/50 | LR=1.74e-04 | TLoss=6.8101 | VLoss=33.5155 | AP@50=0.3813
  Epoch  34/50 | LR=1.59e-04 | TLoss=6.6303 | VLoss=30.9301 | AP@50=0.4354
  Epoch  35/50 | LR=1.44e-04 | TLoss=6.4760 | VLoss=31.2193 | AP@50=0.4491
  Epoch  36/50 | LR=1.30e-04 | TLoss=6.3527 | VLoss=33.1252 | AP@50=0.3488
  Epoch  37/50 | LR=1.16e-04 | TLoss=5.8953 | VLoss=32.6985 | AP@50=0.4426
  Epoch  38/50 | LR=1.02e-04 | TLoss=5.8223 | VLoss=32.9674 | AP@50=0.4398
  Epoch  39/50 | LR=8.96e-05 | TLoss=5.6741 | VLoss=33.8150 | AP@50=0.4425
  Epoch  40/50 | LR=7.76e-05 | TLoss=5.8491 | VLoss=33.9806 | AP@50=0.3994
  Epoch  41/50 | LR=6.64e-05 | TLoss=5.8768 | VLoss=33.0099 | AP@50=0.5044
  Epoch  42/50 | LR=5.61e-05 | TLoss=5.5445 | VLoss=33.4675 | AP@50=0.4824
  Epoch  43/50 | LR=4.67e-05 | TLoss=5.6231 | VLoss=32.7918 | AP@50=0.4630
  Epoch  44/50 | LR=3.83e-05 | TLoss=5.3247 | VLoss=33.3722 | AP@50=0.4430
  Epoch  45/50 | LR=3.09e-05 | TLoss=5.7506 | VLoss=32.6742 | AP@50=0.4569
  Epoch  46/50 | LR=2.46e-05 | TLoss=5.1027 | VLoss=32.6359 | AP@50=0.4642
  Epoch  47/50 | LR=1.94e-05 | TLoss=5.3763 | VLoss=33.2873 | AP@50=0.4509
  Epoch  48/50 | LR=1.53e-05 | TLoss=5.2859 | VLoss=32.7629 | AP@50=0.4673
  Epoch  49/50 | LR=1.24e-05 | TLoss=4.9900 | VLoss=32.4905 | AP@50=0.4455
  Epoch  50/50 | LR=1.06e-05 | TLoss=5.0008 | VLoss=32.5630 | AP@50=0.4405

[Trial 16] lr=3.29e-04  wd=1.12e-03  stride=10  bs=32  mosaic=0.28  ls=0.118  clahe=False  ssr=True  rbc=True
ScanAwareSampler: 13 scans, 2306 total slices, stride=10 → ~236 slices/epoch (10% of training set per epoch)
