Job array  : 732, task 19
Node       : bn060
Started at : Tue Mar 17 10:46:12 AM EDT 2026
Config     : train/config/default.yaml
Study      : yoloe_hparam_search_v3 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v3.db
Trials     : 15 (this worker)
Study name : yoloe_hparam_search_v3
Storage    : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v3.db
Trials     : 15 (this worker)
Epochs/trial: 50 (max, early stopping at patience=25)

[Trial 18] lr=4.33e-04  wd=7.97e-03  stride=5  bs=32  mosaic=0.34  ls=0.106  clahe=False  ssr=True  rbc=False  median=False(limit=7)  speckle=False(heavy)  cp_p=0.14
ScanAwareSampler: 13 scans, 2306 total slices, stride=5 → ~467 slices/epoch (20% of training set per epoch)
  Epoch   1/50 | LR=4.33e-05 | TLoss=451.6485 | VLoss=521.2998 | AP@50=0.0003
  Epoch   2/50 | LR=9.20e-05 | TLoss=322.9327 | VLoss=304.5785 | AP@50=0.0006
  Epoch   3/50 | LR=1.41e-04 | TLoss=172.1120 | VLoss=164.8641 | AP@50=0.0001
  Epoch   4/50 | LR=1.89e-04 | TLoss=84.8500 | VLoss=83.0395 | AP@50=0.0006
  Epoch   5/50 | LR=2.38e-04 | TLoss=46.7680 | VLoss=53.7096 | AP@50=0.0005
  Epoch   6/50 | LR=2.87e-04 | TLoss=32.0550 | VLoss=40.6564 | AP@50=0.0230
  Epoch   7/50 | LR=3.35e-04 | TLoss=25.0409 | VLoss=40.5109 | AP@50=0.0169
  Epoch   8/50 | LR=3.84e-04 | TLoss=24.6757 | VLoss=36.4903 | AP@50=0.2395
  Epoch   9/50 | LR=4.33e-04 | TLoss=21.8627 | VLoss=35.2611 | AP@50=0.0929
  Epoch  10/50 | LR=4.32e-04 | TLoss=20.3444 | VLoss=35.0456 | AP@50=0.1744
  Epoch  11/50 | LR=4.30e-04 | TLoss=17.2498 | VLoss=33.7913 | AP@50=0.1966
  Epoch  12/50 | LR=4.28e-04 | TLoss=16.5660 | VLoss=37.3675 | AP@50=0.2912
  Epoch  13/50 | LR=4.23e-04 | TLoss=15.2334 | VLoss=34.7685 | AP@50=0.2792
  Epoch  14/50 | LR=4.18e-04 | TLoss=14.4072 | VLoss=38.4053 | AP@50=0.3169
  Epoch  15/50 | LR=4.12e-04 | TLoss=13.8641 | VLoss=41.1206 | AP@50=0.3691
